pregnancy_id,wpi,bpd,hc,ac,fl,sex,dam_age,dam_weight
U,1,20.66666667,76.57,65.24666667,9.5,,,
U,2,27.5,98.63,,16,,,
U,3,33.43333333,123.91,100.5366667,22.03333333,,,
U,4,38.06666667,142.6433333,,28.63333333,,,
U,5,43.3,158.24,138.4166667,40.3,,,
U,6,44.63333333,172.14,,38.76666667,,,
U,7,46.53333333,174.38,159.42,43.13333333,,,
U,8,47,171.2833333,,,F,14,10.855
,,,,,,,,
V,1,,,25.515,,,,
V,2,16.2,55.25,46.5,5.033333333,,,
V,3,24.83333333,84.15666667,76.16,11.83333333,,,
V,4,30.9,112.7,100.4666667,17.96666667,,,
V,5,36.6,134.6166667,111.13,25.33333333,,,
V,6,42.16666667,156.0033333,130.5533333,31.36666667,,,
V,7,46.93333333,169.8633333,,36.3,,,
V,8,48.13333333,179.7866667,139.29,41.36666667,,,
V,9,49.66666667,184.1466667,,42.83333333,,,
V,10,50.6,179.6333333,163.9066667,47.36666667,F,10,7.911
,,,,,,,,
R,1,19.73333333,72.84333333,59.84,,,,
R,2,26.7,101.8333333,81.39,13.83333333,,,
R,3,28.96666667,108.84,93.1,17.9,,,
R,4,34.83333333,132.62,109.96,23.96666667,,,
R,5,39.66666667,158.5,125.3666667,29.23333333,,,
R,6,43.2,171.64,142.3066667,34.26666667,,,
R,7,45.33333333,177.5333333,152.6,37.66666667,,,
R,8,45.96666667,176.47,148.1966667,42.13333333,,,
R,9,47.16666667,180.85,158.25,43.6,F,16,10.257
,,,,,,,,
S,1,17.23333333,58.81,48.35333333,5.233333333,,,
S,2,23.83333333,88.1,67.93333333,11.66666667,,,
S,3,29.96666667,112.6966667,94.62333333,,,,
S,4,35.2,129.63,118.4466667,23.83333333,,,
S,5,39.63333333,148.5566667,126.58,29.63333333,,,
S,6,42.6,161.5666667,132.2533333,36.96666667,,,
S,7,44.86666667,,,39.06666667,,,
S,8,46.86666667,172.09,157.0766667,45,F,12,7.535
,,,,,,,,
Q,1,12.4,46.63,41.21,2.65,,,
Q,2,16.8,59.87,51.04,5.9,,,
Q,3,21.05,74.27,58.405,8.5,,,
Q,4,24.35,83.165,75.095,11.1,,,
Q,5,27.43333333,97.61666667,85.12,15,,,
Q,6,31.85,114.8,103.515,19.4,,,
Q,7,37.83333333,149.66,128.2366667,28.66666667,,,
Q,8,43,164.95,140.8,35.33333333,,,
Q,9,46,168.8333333,142.2333333,37.66666667,,,
Q,10,48,180.4066667,145.0966667,41.5,,,
Q,11,49.66666667,186.02,163.44,44.7,F,15,8.794
,,,,,,,,
T,1,17.66666667,63.37666667,53.33666667,7,,,
T,2,26.03333333,94.60333333,75.34,14.03333333,,,
T,3,31.8,118.3366667,92.73333333,21.2,,,
T,4,36.1,138.4966667,122.41,27.2,,,
T,5,43.46666667,164.98,131.75,33.26666667,,,
T,6,45.5,166.2066667,150.17,38.03333333,,,
T,7,48.03333333,176.87,163.6,42.96666667,,,
T,8,49.23333333,181.64,,45.7,M,15,8.794
,,,,,,,,
P1,1,17.26666667,67.06666667,49.96666667,6,,,
P1,2,,,,,,,
P1,3,25.1,89.29,76.12333333,12.3,,,
P1,4,,,,,,,
P1,5,21.52333333,111.54,93.38666667,17.83333333,,,
P1,6,,,,,,,
P1,7,38.86666667,139.21,110.75,25,,,
P1,8,,,,,,,
P1,9,41.66666667,154.5333333,127.5,29.63333333,,,
P1,10,,,,,,,
P1,11,46.8,168.5633333,140.63,35.06666667,,,
P1,12,,,,,,,
P1,13,47.83333333,186.1,138.71,40.63333333,M,8,7.694
,,,,,,,,
P2,1,,70.27666667,,7.2,,,
P2,2,,,,,,,
P2,3,28.3,97.22333333,,12.86666667,,,
P2,4,,,,,,,
P2,5,32.6,119.26,103.7466667,19.7,,,
P2,6,,,,,,,
P2,7,38.96666667,138.6866667,124.5833333,26,,,
P2,8,,,,,,,
P2,9,45.26666667,165.3766667,,31.8,,,
P2,10,,,,,,,
P2,11,,,,,,,
P2,12,,,,,,,
P2,13,,,,,,10,
,,,,,,,,
O,1,15.13333333,56.09333333,47.43666667,4.3,,,
O,2,,,,,,,
O,3,24.03333333,84.81666667,,10.9,,,
O,4,,,,,,,
O,5,30.1,112.3966667,92.14,18.13333333,,,
O,6,,,,,,,
O,7,34.23333333,133.5633333,,24.66666667,,,
O,8,,,,,,,
O,9,42.86666667,163.7666667,131.04,34.06666667,,,
O,10,44.06666667,170.06,,37.43333333,,,
O,11,46.7,176.2266667,152.5233333,42.26666667,,,
O,12,,,,,,,
O,13,48.03333333,178.8766667,,45,,,
O,14,,,,,,,
O,15,48.83333333,186.4183333,184.5933333,47.2,M,8,11.436
,,,,,,,,
F,1,18.73333333,65.24333333,54.97,5.6,,,
F,2,,,,,,,
F,3,24.36666667,88.73666667,81.38666667,11.8,,,
F,4,,,,,,,
F,5,31.66666667,122.525,98.4,18.66666667,,,
F,6,,,,,,,
F,7,37,138.9833333,111.3133333,26.06666667,,,
