dpi,A,B,C,D,E,F,G,H,I,J,K,L,M,N
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,5033.3335,376.667,21250,23333.334,28083.334,55367,23000,2508.333,1185833.4,200.41667,557.9167,1880.3334,0,2488.3333
4,24250,4141.667,31320.833,184791.665,76199.998,495917,122583,3075,258500,29308.334,58616.668,85730,346.08334,347333.34
5,22416.666,81583.336,315,24629.629,91833.336,1495250,54333.33,5658.335,4991.6665,910416.7,686000,562500,9632.5,1223166.6
6,761.667,80841.668,0,1667.593,1019.5833,10637,6758.335,550.8333,1935.8334,730750,15280.833,292083.34,2597500,2020
7,418.333,9875,179.75,1625,1285.7777,15163,1073.335,19.9667,5583.3335,11028.333,1824.1666,20683.334,1545166.6,3726.6667
10,0,390.883,121.417,539,2121.25,1704,984.17,0,1127.666,492.666,605,1681.5,5068.3335,211.5
12,,,,,,,,,,0,0,,,
13,0,0,0,0,2556.0186,640,540.83,0,391.666,,0,0,1577.5,0
14,,,,,,,,,,,,,,0
16,,,,,,,,,,,,0,,
17,0,0,0,0,0,0,404.17,0,560.5769,212.175,0,0,0,0
20,,0,,0,0,0,149.167,0,510.83334,0,0,0,,0
21,,,,,,,,,,,,,0,0
24,,,,,,0,,,259.25925,,,0,,
25,,,,,,,,0,,,,0,,
27,,,,,,,,0,262.03705,0,,,,
31,,,,,,,,0,,,,,,
32,,,,,,,,,872.2222,,,,,
34,,,,,,,,0,0,,,,,
38,,,,,,,,,68.458336,,,,,
41,,,,,,,,,18.1585,,,,,
45,,,,,,,,,151.34166,,,,,
48,,,,,,,,,132.48215,,,,,
52,,,,,,,,,166.625,,,,,
55,,,,,,,,,79.691666,,,,,
59,,,,,,,,,181.03334,,,,,
62,,,,,,,,,189.70833,,,,,
66,,,,,,,,,136.55,,,,,
69,,,,,,,,,,,,,,
73,,,,,,,,,98.566666,,,,,
76,,,,,,,,,160.80833,,,,,
80,,,,,,,,,220.16667,,,,,
83,,,,,,,,,58.308334,,,,,
87,,,,,,,,,168.5,,,,,
90,,,,,,,,,30.483334,,,,,
94,,,,,,,,,,,,,,
95,,,,,,,,,82.5,,,,,
97,,,,,,,,,11.5,,,,,
101,,,,,,,,,16.895834,,,,,
104,,,,,,,,,18.5,,,,,
108,,,,,,,,,17.5,,,,,
111,,,,,,,,,0.01,,,,,
115,,,,,,,,,0.01,,,,,
118,,,,,,,,,0.01,,,,,
122,,,,,,,,,7.965,,,,,
125,,,,,,,,,39.475,,,,,
129,,,,,,,,,0.615,,,,,
132,,,,,,,,,19.766666,,,,,
