dpi,C,D,F,G,H,I,K,L,M,N
0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,217.5,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0
6,0,0,1328.083,0,0,690,0,0,0,0
7,7866.665,5537.037,0,294.167,0,1552.5,0,0,1925.5834,29183.334
10,0,0,49204.547,0,0,0,1603.3334,2125,0,1267.1666
13,0,0,0,0,0,0,2012.0834,0,0,0
17,0,,0,0,0,0,0,0,0,0
20,,,0,0,0,0,0,0,,0
24,,,0,,,0,0,0,,0
25,,,,,0,,0,0,,
27,,0,0,,0,0,,,,
31,,,0,,0,,,,,
32,,,,,,0,,,,
34,,,0,,0,0,,,,
35,,,0,,,,,,,
38,,,0,,0,0,,,,
41,,,0,,0,0,,,,
45,,,,,,0,,,,
48,,,0,,,0,,,,
52,,,,,,0,,,,
55,,,0,,,,,,,
69,,,0,,0,,,,,
76,,,0,,,0,,,,
80,,,,,,0,,,,
83,,,,,,0,,,,
111,,,0,,0,,,,,
