Pregnancy ID,Timepoint (weeks),Motor Score,Orientation Score,State control score,Sensory_score,Visual Orientation_overall,Visual Follow_overall,OrientAuditory_overall,Focus_score,,,,,,,,,,,,,,
Q,1,0.428571429,1.791666667,1.46,1.472857143,1.75,2,2,1.666666667,,,,,,,,,,,,,,
Q,2,1.714285714,1.125,0.683636364,1.556428571,1.5,0.75,2,0.833333333,,,,,,,,,,,,,,
Q,3,1.357142857,1.208333333,0.732727273,1.383571429,2,1.75,0.5,1,,,,,,,,,,,,,,
Q,4,1.714285714,1.583333333,1.030909091,1.459285714,2,1.75,1.75,1.333333333,,,,,,,,,,,,,,
R,1,0.714285714,1.416666667,1.436363636,1.221428571,1.75,0.25,2,1.5,,,,,,,,,,,,,,
R,2,1.571428571,1.416666667,0.803636364,1.066428571,1.75,1,1.75,1.333333333,,,,,,,,,,,,,,
R,3,1.785714286,0.75,0.587272727,1.137142857,0.75,0.25,1.5,0.666666667,,,,,,,,,,,,,,
R,4,1.714285714,0.854166667,0.754545455,1.292857143,0.875,0.25,2,0.666666667,,,,,,,,,,,,,,
P1,1,0.142857143,0.895833333,0.896363636,1.283571429,1.125,0.25,1.5,0.833333333,,,,,,,,,,,,,,
P1,2,1.642857143,1.5625,0.96,1.455,1.625,1.25,2,1.5,,,,,,,,,,,,,,
P1,3,1.5,1.625,1.161818182,1.647142857,2,1.75,2,1.333333333,,,,,,,,,,,,,,
P1,4,1.357142857,1.125,1.267272727,1.705714286,2,1,1.75,0.666666667,,,,,,,,,,,,,,
S,1,0.5,1.145833333,1.252727273,1.111428571,1.375,1,2,0.833333333,,,,,,,,,,,,,,
S,2,1.428571429,1.708333333,0.934545455,1.486428571,2,1.75,2,1.5,,,,,,,,,,,,,,
S,3,1.571428571,1.145833333,0.987272727,1.908571429,1.875,1.25,1.75,0.666666667,,,,,,,,,,,,,,
S,4,1.785714286,0.875,1.254545455,1.846428571,1.75,1.25,0.75,0.5,,,,,,,,,,,,,,
T,1,0.5,1.583333333,1.121818182,1.173571429,1.75,1.75,2,1.333333333,,,,,,,,,,,,,,
