Pregnancy ID,Timepoint,A Wave Latency (OD) (mSec),A Wave Amplitude (OD) (uV),B Wave Latency (OD) (mSec),B Wave Amp (OD) (uV),N70 Latency (RH) (mSec),N70 Amplitude (RH) (uV),P90 Latency (RH) (mSec),P90 Amp (RH) (uV),A Wave Latency (OS) (mSec),A Wave Amplitude (OS) (uV),B Wave Latency (OS) (mSec),B Wave Amp (OS) (uV),N70 Latency (LH) (mSec),N70 Amplitude (LH) (uV),P90 Latency (LH) (mSec),P90 Amp (LH) (uV)
H,1 Month,11,-19.9688731,25.5,140.5186691,35,-14.2961573,78,146.8565961,11.5,-20.9871151,25.5,138.3434871,39,-32.21158891,82.5,103.7280831
H,3 Month,12,-25.4499503,25.5,157.0190223,35,29.03810712,60,43.891656,11.5,-25.8692732,25,160.0347902,35,36.43273301,60,56.42981846
H,6 Month,10,-24.1948937,23.5,186.4358427,71,4.362623516,96.5,25.79891266,10,-19.7388709,23.5,176.5243879,64.5,4.278401633,89.5,34.59214478
H,9 Month,10.5,-22.5202513,23.5,180.0493763,75.5,1.114781326,154.5,37.89061529,10,-21.8874297,23.5,189.3951647,79,-7.435570133,133.5,56.24485296
H,12 Month,10,-20.9471741,23,194.876977,74.5,-4.159855701,150.5,35.71615208,10,-22.3015566,23.5,180.1242212,69,-12.34019213,129.5,51.19535588
I,1 Month,10.5,-15.1447326,24.5,82.6872772,35,-0.298785714,71,15.70235986,10.5,-12.8139568,25,69.8961012,35,6.034473182,72,13.64306376
I,3 Month,11,-20.63941875,24.5,108.7064436,62,17.66165857,94.5,27.1265408,10,-23.61447179,24.5,141.1866206,44.5,-9.924798219,91,38.84144938
I,6 Month,10.5,-23.2353404,24,135.8371664,120,38.90726602,139,11.08223455,11,-21.1050176,24.5,121.8075606,96,-1.193698742,125.5,17.31318605
I,9 Month,10.5,-23.6234729,24,148.4708339,54,-5.542162124,115.5,15.88682235,11,-21.6104088,24.5,128.4144448,93.5,-16.48576949,121.5,10.58441795
I,12 Month,10.5,-22.41522095,24,154.6609187,69,14.0265982,122.5,25.82720942,10.5,-20.81819135,24,142.7264989,71.5,-6.212034668,135,35.9274479
O,1 Month,11.5,-20.6874487,24.5,101.8244749,107.5,5.151902018,141.5,38.38408582,11,-20.8413015,25,105.027443,108,-12.21836318,143,39.21570031
O,3 Month,10,-10.0473146,23.5,68.4280723,70.5,8.391819948,134,15.25574159,10,-17.0184635,24.5,110.6800638,68,8.464973588,129.5,13.89679072
O,6 Month,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
O,9 Month,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
O,12 Month,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
P1,1 Month,10.5,-29.3989441,24.5,117.5295706,35,-20.09084905,73,67.13399157,10.5,-21.0438888,25.5,87.0016284,35,-23.66638096,75.5,70.7066492
P1,3 Month,10,-25.5584921,23,114.3614194,61.5,61.11262615,88,47.51383965,11,-25.7752489,24,85.8158193,59,58.50529432,88,50.69134458
P1,6 Month,11,-19.5466815,24,83.6240897,93.5,20.30005534,144.5,49.97566193,11,-21.8822754,24.5,100.140539,78.5,9.29870074,144,42.10357062
